OBJECTID,route_id,direction_id,time_period,speed_mph,district_name,org_id,agency,base64_url,route_name,Shape_Length
1,76755,1,offpeak,11.99814439,09 - Bishop,recRajLNJI206nnAr,Eastern Sierra Transit Authority,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9lYXN0ZXJuc2llcnJhLWNhLXVzL2Vhc3Rlcm5zaWVycmEtY2EtdXMuemlw,Purple Line,0.0496077535259088
2,76755,1,all_day,11.99814439,09 - Bishop,recRajLNJI206nnAr,Eastern Sierra Transit Authority,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9lYXN0ZXJuc2llcnJhLWNhLXVzL2Vhc3Rlcm5zaWVycmEtY2EtdXMuemlw,Purple Line,0.0496077535259088
3,154,0,peak,18.99126344,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Novato - San Francisco,0.513507419159197
4,154,0,all_day,18.99126344,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Novato - San Francisco,0.513507419159197
5,154,1,offpeak,22.48432583,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Novato - San Francisco,0.509280602550057
6,154,1,peak,17.26656702,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Novato - San Francisco,0.509280602550057
7,154,1,all_day,21.40209147,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Novato - San Francisco,0.509280602550057
8,172X,1,offpeak,29.38137331,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Santa Rosa - San Francisco Express,0.959898227150509
9,172X,1,all_day,29.38137331,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Santa Rosa - San Francisco Express,0.959898227150509
10,172X,0,peak,28.56895701,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Santa Rosa - San Francisco Express,0.950631802423868
