OBJECTID,org_id,agency,route_id,route_type,route_name,shape_id,n_trips,base64_url,Shape_Length
1,rec4YWVqVwJ9XqDbq,Tulare County Regional Transit Agency,0177a66b-9f33-407d-a72e-776429fb73d4,3,70,8819e56f-2a4e-4f1a-a7f1-7c8c8d939832,2,aHR0cHM6Ly90Y3J0YS50cmlwc2hvdC5jb20vdjEvZ3Rmcy56aXA_cmVnaW9uSWQ9Q0E1NThEREMtRDdGMi00QjQ4LTlDQUMtREVFQTExMzRGODIw,0.563666769223074
2,rec4YWVqVwJ9XqDbq,Tulare County Regional Transit Agency,0ad6c6aa-1939-45a0-a3a8-02ebe8e19092,3,10 Northbound,79acf1b7-c214-4954-b9b4-59e1d5999f26,6,aHR0cHM6Ly90Y3J0YS50cmlwc2hvdC5jb20vdjEvZ3Rmcy56aXA_cmVnaW9uSWQ9Q0E1NThEREMtRDdGMi00QjQ4LTlDQUMtREVFQTExMzRGODIw,0.395481023351942
3,rec4YWVqVwJ9XqDbq,Tulare County Regional Transit Agency,0ad6c6aa-1939-45a0-a3a8-02ebe8e19092,3,10 Northbound,89cd378b-105c-46e9-b524-f5d1e7709ce7,1,aHR0cHM6Ly90Y3J0YS50cmlwc2hvdC5jb20vdjEvZ3Rmcy56aXA_cmVnaW9uSWQ9Q0E1NThEREMtRDdGMi00QjQ4LTlDQUMtREVFQTExMzRGODIw,0.41243043542599
4,rec4YWVqVwJ9XqDbq,Tulare County Regional Transit Agency,0ad6c6aa-1939-45a0-a3a8-02ebe8e19092,3,10 Northbound,8c7f37d1-494c-460a-b71f-b277bb4500b2,2,aHR0cHM6Ly90Y3J0YS50cmlwc2hvdC5jb20vdjEvZ3Rmcy56aXA_cmVnaW9uSWQ9Q0E1NThEREMtRDdGMi00QjQ4LTlDQUMtREVFQTExMzRGODIw,0.447126227411821
5,rec4YWVqVwJ9XqDbq,Tulare County Regional Transit Agency,0ad6c6aa-1939-45a0-a3a8-02ebe8e19092,3,10 Northbound,a7b820e7-02ef-4a60-8408-8db98987ea32,1,aHR0cHM6Ly90Y3J0YS50cmlwc2hvdC5jb20vdjEvZ3Rmcy56aXA_cmVnaW9uSWQ9Q0E1NThEREMtRDdGMi00QjQ4LTlDQUMtREVFQTExMzRGODIw,0.467321773551069
6,rec4YWVqVwJ9XqDbq,Tulare County Regional Transit Agency,0ad6c6aa-1939-45a0-a3a8-02ebe8e19092,3,10 Northbound,ddb847d7-ee23-4b09-a566-3b84745d6a6c,1,aHR0cHM6Ly90Y3J0YS50cmlwc2hvdC5jb20vdjEvZ3Rmcy56aXA_cmVnaW9uSWQ9Q0E1NThEREMtRDdGMi00QjQ4LTlDQUMtREVFQTExMzRGODIw,0.33777147838108
7,rec4YWVqVwJ9XqDbq,Tulare County Regional Transit Agency,0ad6c6aa-1939-45a0-a3a8-02ebe8e19092,3,10 Northbound,fada7031-855a-4b41-8fda-fac4ed66bcf3,2,aHR0cHM6Ly90Y3J0YS50cmlwc2hvdC5jb20vdjEvZ3Rmcy56aXA_cmVnaW9uSWQ9Q0E1NThEREMtRDdGMi00QjQ4LTlDQUMtREVFQTExMzRGODIw,0.525163400852724
8,rec4YWVqVwJ9XqDbq,Tulare County Regional Transit Agency,0e85fd4c-5258-4256-9852-4a96554aadb7,3,20 Northbound,11632900-98bf-47da-b1fe-ac440d2fc1a7,1,aHR0cHM6Ly90Y3J0YS50cmlwc2hvdC5jb20vdjEvZ3Rmcy56aXA_cmVnaW9uSWQ9Q0E1NThEREMtRDdGMi00QjQ4LTlDQUMtREVFQTExMzRGODIw,0.569272544150228
9,rec4YWVqVwJ9XqDbq,Tulare County Regional Transit Agency,0e85fd4c-5258-4256-9852-4a96554aadb7,3,20 Northbound,801b4472-787d-4f12-8e05-51187bdb9a8c,1,aHR0cHM6Ly90Y3J0YS50cmlwc2hvdC5jb20vdjEvZ3Rmcy56aXA_cmVnaW9uSWQ9Q0E1NThEREMtRDdGMi00QjQ4LTlDQUMtREVFQTExMzRGODIw,0.418711322868361
10,rec4YWVqVwJ9XqDbq,Tulare County Regional Transit Agency,0e85fd4c-5258-4256-9852-4a96554aadb7,3,20 Northbound,908c324b-a102-402c-a979-8434435003a2,1,aHR0cHM6Ly90Y3J0YS50cmlwc2hvdC5jb20vdjEvZ3Rmcy56aXA_cmVnaW9uSWQ9Q0E1NThEREMtRDdGMi00QjQ4LTlDQUMtREVFQTExMzRGODIw,0.67213594529919
