County,Highway Type,Total,Fatality,Injury
ALAMEDA,Conventional,20,0,20
ALAMEDA,Expressway,0,0,0
ALAMEDA,Freeway,5,1,4
ALAMEDA,One-Way City Street,0,0,0
ALAMEDA,TOTAL,25,1,24
ALPINE,Conventional,1,0,1
ALPINE,Expressway,0,0,0
ALPINE,Freeway,0,0,0
ALPINE,One-Way City Street,0,0,0
ALPINE,TOTAL,1,0,1
AMADOR,Conventional,2,0,2
AMADOR,Expressway,0,0,0
AMADOR,Freeway,0,0,0
AMADOR,One-Way City Street,0,0,0
AMADOR,TOTAL,2,0,2
BUTTE,Conventional,5,0,5
BUTTE,Expressway,2,0,2
BUTTE,Freeway,0,0,0
BUTTE,One-Way City Street,0,0,0
BUTTE,TOTAL,7,0,7
CALAVERAS,Conventional,2,0,2
CALAVERAS,Expressway,0,0,0
CALAVERAS,Freeway,0,0,0
CALAVERAS,One-Way City Street,0,0,0
CALAVERAS,TOTAL,2,0,2
COLUSA,Conventional,0,0,0
COLUSA,Expressway,0,0,0
COLUSA,Freeway,0,0,0
COLUSA,One-Way City Street,0,0,0
COLUSA,TOTAL,0,0,0
CONTRA COSTA,Conventional,1,0,1
CONTRA COSTA,Expressway,0,0,0
CONTRA COSTA,Freeway,1,0,1
CONTRA COSTA,One-Way City Street,0,0,0
CONTRA COSTA,TOTAL,2,0,2
DEL NORTE,Conventional,0,0,0
DEL NORTE,Expressway,0,0,0
DEL NORTE,Freeway,0,0,0
DEL NORTE,One-Way City Street,0,0,0
DEL NORTE,TOTAL,0,0,0
EL DORADO,Conventional,5,0,5
EL DORADO,Expressway,0,0,0
EL DORADO,Freeway,0,0,0
EL DORADO,One-Way City Street,0,0,0
EL DORADO,TOTAL,5,0,5
FRESNO,Conventional,1,0,1
FRESNO,Expressway,0,0,0
FRESNO,Freeway,7,0,7
FRESNO,One-Way City Street,0,0,0
FRESNO,TOTAL,8,0,8
GLENN,Conventional,0,0,0
GLENN,Expressway,0,0,0
GLENN,Freeway,0,0,0
GLENN,One-Way City Street,0,0,0
GLENN,TOTAL,0,0,0
HUMBOLDT,Conventional,2,0,2
HUMBOLDT,Expressway,0,0,0
HUMBOLDT,Freeway,1,0,1
HUMBOLDT,One-Way City Street,2,0,2
HUMBOLDT,TOTAL,5,0,5
IMPERIAL,Conventional,2,0,2
IMPERIAL,Expressway,1,0,1
IMPERIAL,Freeway,0,0,0
IMPERIAL,One-Way City Street,0,0,0
IMPERIAL,TOTAL,3,0,3
INYO,Conventional,2,0,2
INYO,Expressway,0,0,0
INYO,Freeway,0,0,0
INYO,One-Way City Street,0,0,0
INYO,TOTAL,2,0,2
KERN,Conventional,3,1,2
KERN,Expressway,0,0,0
KERN,Freeway,2,0,2
KERN,One-Way City Street,0,0,0
KERN,TOTAL,5,1,4
KINGS,Conventional,0,0,0
KINGS,Expressway,0,0,0
KINGS,Freeway,0,0,0
KINGS,One-Way City Street,0,0,0
KINGS,TOTAL,0,0,0
LAKE,Conventional,3,0,3
LAKE,Expressway,0,0,0
LAKE,Freeway,0,0,0
LAKE,One-Way City Street,0,0,0
LAKE,TOTAL,3,0,3
LASSEN,Conventional,2,0,2
LASSEN,Expressway,0,0,0
