System,Data Table,Data Element,Code,Meaning,List of Values Source
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,2 AND 3 LN,2 and 3 lane conventional highways,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,4+ UND,Undivided conventional highways with number of lanes equal or greater than 4,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,4+ DIV,Divided conventional highways with number of lanes equal or greater than 4,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,SUBTOTAL,"Sum of 2 AND 3 LN, 4+ UND and 4+ DIV",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,2 AND 3 LN EXP,2 and 3 lane expressways ,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,4+ DIV EXP,Divided expressways with number of lanes equal or greater than 4,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,NON FWY,"Sum of Subtotal, 2 AND 3 LN EXP, and 4+ DIV EXP",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,FREEWAY,Freeway: full access control,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,TOTAL,Sum of NON FWY and FREEWAY,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,AREA TYPE,RURAL (INSIDE + OUTSIDE CITY),The entirety of the rural area limits.,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,AREA TYPE,RURAL (OUTSIDE CITY),Rural areas that fall just outside of city boundaries. ,Transportation System Network (TSN)
