County,Highway Type,Total,Fatality,Injury
ALAMEDA,Conventional,20,1,19
ALAMEDA,Expressway,0,0,0
ALAMEDA,Freeway,48,18,30
ALAMEDA,One-Way City Street,0,0,0
ALAMEDA,TOTAL,68,19,49
ALPINE,Conventional,0,0,0
ALPINE,Expressway,1,0,1
ALPINE,Freeway,0,0,0
ALPINE,One-Way City Street,0,0,0
ALPINE,TOTAL,1,0,1
AMADOR,Conventional,1,0,1
AMADOR,Expressway,0,0,0
AMADOR,Freeway,0,0,0
AMADOR,One-Way City Street,0,0,0
AMADOR,TOTAL,1,0,1
BUTTE,Conventional,8,2,6
BUTTE,Expressway,2,2,0
BUTTE,Freeway,0,0,0
BUTTE,One-Way City Street,1,1,0
BUTTE,TOTAL,11,5,6
CALAVERAS,Conventional,3,0,3
CALAVERAS,Expressway,0,0,0
CALAVERAS,Freeway,0,0,0
CALAVERAS,One-Way City Street,0,0,0
CALAVERAS,TOTAL,3,0,3
COLUSA,Conventional,3,0,3
COLUSA,Expressway,0,0,0
COLUSA,Freeway,1,0,1
COLUSA,One-Way City Street,0,0,0
COLUSA,TOTAL,4,0,4
CONTRA COSTA,Conventional,5,2,3
CONTRA COSTA,Expressway,0,0,0
CONTRA COSTA,Freeway,27,4,23
CONTRA COSTA,One-Way City Street,0,0,0
CONTRA COSTA,TOTAL,32,6,26
DEL NORTE,Conventional,2,0,2
DEL NORTE,Expressway,1,0,1
DEL NORTE,Freeway,0,0,0
DEL NORTE,One-Way City Street,2,0,2
DEL NORTE,TOTAL,5,0,5
EL DORADO,Conventional,9,0,9
EL DORADO,Expressway,1,0,1
EL DORADO,Freeway,1,1,0
EL DORADO,One-Way City Street,0,0,0
EL DORADO,TOTAL,11,1,10
FRESNO,Conventional,5,5,0
FRESNO,Expressway,0,0,0
FRESNO,Freeway,23,4,19
FRESNO,One-Way City Street,0,0,0
FRESNO,TOTAL,28,9,19
GLENN,Conventional,0,0,0
GLENN,Expressway,0,0,0
GLENN,Freeway,1,1,0
GLENN,One-Way City Street,0,0,0
GLENN,TOTAL,1,1,0
HUMBOLDT,Conventional,4,3,1
HUMBOLDT,Expressway,0,0,0
HUMBOLDT,Freeway,5,3,2
HUMBOLDT,One-Way City Street,1,1,0
HUMBOLDT,TOTAL,10,7,3
IMPERIAL,Conventional,4,2,2
IMPERIAL,Expressway,2,0,2
IMPERIAL,Freeway,3,0,3
IMPERIAL,One-Way City Street,0,0,0
IMPERIAL,TOTAL,9,2,7
INYO,Conventional,5,1,4
INYO,Expressway,0,0,0
INYO,Freeway,0,0,0
INYO,One-Way City Street,0,0,0
INYO,TOTAL,5,1,4
KERN,Conventional,17,6,11
KERN,Expressway,2,1,1
KERN,Freeway,16,11,5
KERN,One-Way City Street,0,0,0
KERN,TOTAL,35,18,17
KINGS,Conventional,0,0,0
KINGS,Expressway,0,0,0
KINGS,Freeway,1,1,0
KINGS,One-Way City Street,0,0,0
KINGS,TOTAL,1,1,0
LAKE,Conventional,4,0,4
LAKE,Expressway,4,3,1
LAKE,Freeway,0,0,0
LAKE,One-Way City Street,0,0,0
LAKE,TOTAL,8,3,5
LASSEN,Conventional,1,0,1
LASSEN,Expressway,3,0,3
LASSEN,Freeway,0,0,0
LASSEN,One-Way City Street,0,0,0
LASSEN,TOTAL,4,0,4
LOS ANGELES,Conventional,112,14,98
LOS ANGELES,Expressway,5,1,4
LOS ANGELES,Freeway,249,54,195
LOS ANGELES,One-Way City Street,0,0,0
LOS ANGELES,TOTAL,366,69,297
MADERA,Conventional,11,2,9
MADERA,Expressway,0,0,0
MADERA,Freeway,5,2,3
MADERA,One-Way City Street,0,0,0
MADERA,TOTAL,16,4,12
MARIN,Conventional,2,0,2
MARIN,Expressway,0,0,0
MARIN,Freeway,13,0,13
MARIN,One-Way City Street,0,0,0
MARIN,TOTAL,15,0,15
MARIPOSA,Conventional,0,0,0
MARIPOSA,Expressway,0,0,0
MARIPOSA,Freeway,0,0,0
MARIPOSA,One-Way City Street,0,0,0
MARIPOSA,TOTAL,0,0,0
MENDOCINO,Conventional,3,0,3
MENDOCINO,Expressway,3,1,2
MENDOCINO,Freeway,0,0,0
MENDOCINO,One-Way City Street,0,0,0
MENDOCINO,TOTAL,6,1,5
MERCED,Conventional,13,2,11
MERCED,Expressway,1,0,1
